,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8
030_Melos_1,21.697596,20.911020999999998,36.93324200000001,19.212199999999996,25.096189999999993,29.284172000000012,51.73514799999998,33.974558
031_Diotima_1,22.637596,24.912245,42.436054,22.28816400000001,22.39618999999999,33.66417200000001,54.63514799999999,32.79455800000002
032_Brodsky_1,21.549841,23.358776000000002,37.973242,23.4722,21.79619000000001,35.844171999999986,57.335148000000004,30.014557999999994
033_Janacek_1,22.169840999999998,20.278776000000004,36.253242,22.032200000000003,26.096189999999993,29.68417199999999,49.67514800000001,28.834558000000015
034_Martinu_1,23.337596,20.351020999999996,42.073242,22.0522,24.87619000000001,35.68417199999999,57.07514800000001,31.594558000000006
035_Casal_1,22.417596,22.611021000000004,33.14526,22.440181999999993,22.216189999999997,32.924172,48.555148,31.65455800000001
036_Talich_1,22.029841,22.958776,39.57324199999999,21.532200000000003,22.476190000000003,28.50417200000001,54.555148,30.594557999999978
037_Henschel_1,22.749841,22.058775999999998,39.013242000000005,23.4722,26.955782,31.844580000000008,50.495148,33.014557999999994
038_Cecilia_1,24.157596,24.131020999999997,36.113242,21.79220000000001,23.97618999999999,29.844172000000015,47.41514799999999,31.93455800000001
039_Gerhard_1,20.497596,23.811020999999997,35.513242000000005,20.5522,21.456189999999992,30.144171999999998,51.555148,28.194558
040_Zaide_1,22.257596,22.951021,40.653242000000006,22.292199999999994,25.076189999999997,35.124172000000016,60.73514799999998,31.634558000000027
041_Medici_1,22.429841000000003,24.018776,39.713241999999994,19.13220000000001,22.576189999999983,29.084172000000024,52.15541999999999,27.83428599999999
042_Juilliard_1,25.917596,26.711021,40.753242,24.992199999999997,22.616190000000003,32.039592,52.05972800000001,36.19455799999997
043_Nostitz_1,25.149841,20.398776,36.253242,22.032200000000003,24.91619,31.704172,46.355147999999986,32.134558
044_Janacek_1,27.357596,28.191021,44.013242000000005,21.152199999999993,28.136190000000013,38.284171999999984,64.715148,30.834557999999987
045_Gabrieli_1,26.097596,29.831021000000003,40.15324199999999,19.732200000000006,23.496190000000013,38.98417199999997,59.495148,27.894558000000018
