,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9
021_Concord_2,3.2179754650910617,3.009586331540706,2.9773807886032357,2.9451872882916716,1.8602897500233604,2.4217340188027543,2.026128130243327,2.6220568211065025,3.288052458056119
022_Griller_2,-0.057312909037523584,0.08030591682077141,-0.4249731862603817,-0.0764211377275927,-0.7670239938761471,-0.5113666035611856,-0.5187114119538234,-0.11026289120608614,0.125485010020585
023_Moyzes_2,0.567581378247461,1.1264202841238744,0.4617700756447881,0.20173449291478776,0.2086719034015279,-0.07622668011965629,-0.11402822720234264,-0.4828335512785436,0.07695456324765945
024_Vlach_2,0.7500410879465529,1.1276776903439587,0.6977275101431614,1.0933566514122777,0.38563095839672273,0.7150242226697613,0.446488914033433,0.7948991122543986,0.2495072628847179
025_Stamic_2,0.42893438460061334,1.1388795274939412,1.3104556868244164,1.794461254675256,2.1729174138482166,2.035309159300944,2.8414257902226283,2.4431742482118834,0.5326015357267836
026_Amadeus_2,-1.2729311431328683,-1.2415108668769426,-0.7674920427902754,-0.579387483546689,-0.664326101241444,0.2990574126738424,-0.2928176253359701,0.4541704019789546,1.3306577715481827
027_Albion_2,-0.13529596556439547,-0.03295697878639518,0.12390262518657094,0.24745870617106555,0.04940875390585337,0.09664439103003879,-0.23053794297644842,-0.06118177231266882,0.23063431136191606
028_Alexander_2,-1.5665144147634422,-1.7567953757760504,-1.5743142381718056,-1.7148721127443443,-1.6847899850470713,-1.5069187194656388,-1.4359212794305412,-1.5328052566060844,-1.0284611688022682
029_Varese_2,-0.39218132824114676,-0.3229602205785326,-0.6304845001783151,-0.1335764042979467,-0.5310785872158817,-0.6375147689307695,-0.5645835119957318,-0.930039983515066,-0.9988036735521522
030_CzechPhil_2,1.3876672560192052,0.9316455402193009,1.519772765814906,1.0323910337372317,1.9015801961889107,1.7638916984603858,2.2978940169030886,2.14929573559932,0.3843140594761803
031_Sacconi_2,0.9472923485733444,0.3030981357130205,0.4702272467890209,0.3427174837883186,0.5542702834213257,0.34428844247852075,0.3049441813981374,0.20714208702924708,-0.4838417105727958
032_Lipkind_2,1.6950122435074626,1.8725998608176697,1.7290898448054013,1.7830302013611854,1.8366952093573305,1.860497913335842,1.6659304733328681,1.7771307556475149,1.6703708989586539
033_Cypress_2,-1.6536719485287676,-1.6727815971511963,-1.7607967267269682,-1.8063205392569108,-1.8700687700128664,-1.8565931947400436,-1.6006909548860864,-1.7009386905132875,-1.5892574426227235
034_Excelsior_2,0.805087951377286,0.34915000842030675,0.4084893646290293,0.39606239925398057,0.48348666142324437,0.6985112303551836,0.6786222755553157,0.8587857454310359,0.041904796133882434
035_Jupiter_2,0.47480677079289113,-0.042914291829016855,0.05835897795402571,-0.48793905703412527,-0.30693045088863546,0.15567630867407453,-0.043121110299228334,0.2475022545831391,0.4166676906581307
037_Orlando_2,-0.17658111313744482,0.25953531122046164,-0.4249731862603817,-0.44983554598722625,-0.2927120857515256,-0.8510165739386906,-0.9382616061529102,-0.8599241906482642,0.5879732926199207
038_Takacs_2,0.8738965306657009,0.9820538073942118,0.6710871546352779,0.304613972741425,0.45051594522829447,-0.27863970176345987,0.18038481667906187,-0.47005622464321367,-0.31398514686755635
039_Jerusalem_2,0.04360634058548557,-0.05971704755398645,-0.05961973929515822,-0.05736938220414317,0.14968555173646575,-0.08082697606610875,0.055825451960018486,-0.04414533679891175,0.4220599625217916
040_Keller_2,-1.0940288369829874,-1.0902860653522042,-1.5705084730992493,-1.6119926329177099,-1.3957568618882532,-1.575923158662393,-1.5464609214715426,-1.8159346302312445,-2.1419653086476833
041_Matangi_2,-0.45640266891033504,-0.6478134979279678,-0.5505634336546783,-0.7775257409905711,-0.2951331805556247,-0.773583472508845,-0.29520548497553317,-0.5254246400629725,-1.9424512496923356
042_Melos_2,0.1124149198739006,0.0018930567709086825,0.16492039998554608,0.11160806771799682,0.2985824397905239,0.1445355419657497,0.04122794368332937,0.1262190183388284,-0.020106330298184004
043_Tang_2,-0.07107462489520724,0.16992061402061653,0.4807989010075617,0.377010643730531,0.5129798372557755,0.3810908100501339,0.2256791311223635,0.19010565151546582,0.780646041455057
044_Jade_2,-1.7729401526286874,-1.6671806785762093,-1.7802139304153943,-1.6077934354827859,-2.0588250953410805,-1.5556337834053708,-1.8352121760475322,-1.5220561176186689,-1.8561748998738063
046_Guarneri_2,0.7638028038042366,0.9092418659193402,0.815706227392348,0.6856490832104318,0.6132566350863878,0.5605023519616817,0.45781249264424634,0.5776845594537902,0.4786788170901971
047_Miro_2,0.2270958853545934,-0.17297994316115303,0.23426981229064492,-0.20597307528705275,0.10249647040440596,0.6670810883898495,0.4828475095054522,0.6671258459010995,0.6431431089317756
048_Wihan_2,0.6078366907504927,0.9148427844943294,0.5264680818782133,0.7618561053042353,0.9106094882158061,0.34966066808478674,0.65836297797322,0.36047000665320594,2.1826367260061836
049_Serafin_2,-0.8463179515446912,-0.4965886964032296,-0.4934769575663632,-0.7089394211061517,-0.808314440041689,-0.3522964202508544,-0.5532599333849184,-0.4956108779138735,-1.001499809483971
050_Bartok_2,-1.9793658904939357,-1.7063871086011395,-2.1147328784745256,-1.6729582505927532,-2.5130200031620826,-2.3396242691173033,-2.3960376017109897,-2.222780894913869,-1.556903811440773
051_Hungarian_2,2.5069534791107677,2.4158889625917315,2.318983431051329,2.4155484847397446,1.7600129521927566,1.9847059038899864,1.4316402531750954,1.7915305898100826,1.106878489206372
052_Masin_2,-0.9151265308331062,-0.21654276765371588,-0.3754982403171711,-0.06880043551821396,-0.4696711407467288,-0.40744798826406337,-0.4933681106649277,-0.26758926224511587,0.3208540295943442
