,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13
011_Prazak_3,-0.6987282236387484,-0.7142879172145139,-0.8787711797771133,0.49177072177966485,-0.4928836624343092,-0.7306463845306765,-1.021583140051729,-0.7959534611585792,-0.7751549890462982,1.0384514489914713,-0.8069603181508872,-0.41872811543335486,-0.8709782748361117
012_Modigliani_3,-0.3837011840585098,-0.16737783126028966,-0.14195427315233722,0.299681651628814,0.30904408495607405,0.6366003209362916,0.29222838373127735,-0.3530763611040345,-0.6550848767183012,0.3654401937557758,0.12824955445838832,0.029246159762710854,-0.2641098171619424
013_Janacek_3,0.0767229507126042,0.525374944281739,1.0113243633038156,0.09705709625853472,-0.6520498100141499,0.3618393543176043,0.18992007077493708,0.7910228140369054,1.326071976693683,-0.14685195575200888,-0.3379127056329223,-0.04446010179240515,0.20710569114976624
014_Guarneri_3,-0.2625369380661115,-1.0424339687870512,-1.3913394626465183,-0.2645799919393086,-0.9331577198251114,-0.7949102515217505,-0.20695167070277024,-1.2757369862176628,-1.045312741784329,-0.4783351113158456,-0.8222916275379324,-1.248798095943751,-0.842419759180852
015_Tokyo_3,0.41598283949132203,0.08784687551835503,0.3706140097170621,1.3921882381117774,0.2461477910431039,1.0526759244716755,0.4614638938912319,0.6433971140187239,0.5456162465617126,0.7873278462915758,0.6341827642306173,1.0306004219657199,0.8330130402669705
016_Panocha_3,-0.14137269207371103,-0.459063210435879,-0.07788323779366302,0.5532686378668039,-1.028465260195113,-1.1814766906331642,-0.6038234121804628,-0.13163781107674905,-0.1447868993243188,1.0484963930994649,-0.914279483860138,0.24005758338440977,0.32133975377078466
017_Endellion_3,-0.15868221625618542,0.01492553072445285,0.018223315244348295,-0.9488973043517145,-0.06737136522488908,0.03953678219727611,-0.31139160267059424,-0.13163781107674905,0.45556366231568807,-2.0051666157311705,-0.5678823464384908,-0.22892009746138,-0.28552870390338464
019_Sevcik-Lhotsky_3,-3.1462459926852,-2.537321537061952,-2.0177395504859117,-1.254399363189695,-3.2445965211268115,-3.2851350974259166,-1.8571025957942464,-1.7555205112767727,-1.9758561123263119,-0.4682901672078592,-2.3707538756286874,-2.9616409128699357,-2.2203681395469212
020_Amadeus_3,0.12518864910956481,-0.823669934405364,-0.8147001444184334,-0.21508764273659955,-0.02212455758756283,-0.7476955884434118,0.10636812520068681,-1.0173920111858648,-0.9552601575383046,-0.28748117326393985,-0.3316897271527269,-0.7612966788185993,-0.6282308917664501
021_Concord_3,-1.134919509211381,-0.9330519515962076,-0.04584772011433729,2.065970065304755,-0.10170723827565278,-1.3732850544414166,-1.00069515365817,-0.9804855861813259,-0.2948745397343098,1.2594402193673793,0.15891217323245688,1.7947918325943246,-0.1284568677994716
