,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12
026_Wihan_1,43.775646,24.88911600000001,48.68897899999999,41.73360600000001,34.105305999999985,51.84712000000002,17.473287999999997,28.10068000000001,60.84603199999998,42.602948000000026,49.484988999999985,44.863809
027_Endellion_1,42.735645999999996,23.629116000000003,38.108979000000005,36.533606000000006,30.72530599999999,41.767120000000006,17.153288000000003,26.360679999999974,51.946032,39.382948,42.64498900000001,41.56380899999999
028_Juilliard_1,46.515646,25.169116000000002,44.188979,41.83360599999999,34.28530600000002,45.82711999999998,18.433288000000005,28.700679999999977,60.68603200000001,43.882948,44.98498900000004,46.86380899999995
029_Panocha_1,39.955645999999994,21.609116,36.648979000000004,37.61360599999999,32.26530600000001,44.90711999999999,15.85328800000002,24.82067999999998,53.02603199999999,39.602948000000026,45.56498899999997,41.463809000000026
030_Sevcik-Lhotsky_1,38.035646,22.149116,38.128978999999994,34.913606,32.585306,51.84711999999999,16.013288000000017,23.76067999999998,50.20603199999999,39.502948,49.48498900000004,42.123808999999994
031_Medici_1,44.135645999999994,23.989116000000003,35.688979,35.413606,31.645306000000005,42.747119999999995,18.08117899999999,26.992789000000016,46.58603199999999,38.282947999999976,39.20498900000001,37.683809
032_Talich_1,49.455645999999994,24.389116,36.828979000000004,36.75360599999999,31.825306000000012,45.447119999999984,18.213288000000006,28.32067999999998,52.98603200000002,39.96294799999998,39.304989000000035,40.02380899999997
033_Sacconi_1,50.195645999999996,27.249115999999994,45.30897900000001,41.65360600000001,35.625305999999995,50.60711999999998,19.37328800000003,31.32067999999998,60.329841999999985,44.939138000000014,48.36498899999998,45.803809
034_Prazak_1,41.355646,22.409115999999997,40.388979000000006,40.31360600000001,32.94530599999999,44.247119999999995,17.11328800000001,27.340679999999992,56.629842,40.87913800000001,45.36498899999998,41.84380900000002
035_Czech_1,39.775645999999995,21.249116,40.148979,43.11360600000002,31.585305999999974,53.08712,16.093288,23.60068000000001,56.90603199999998,42.322948,52.844989,43.28380900000002
036_Koeckert_1,41.715646,22.249116,35.088978999999995,34.09360600000001,30.965305999999998,43.52712,16.813288,25.352109000000013,46.694603,37.70294799999999,40.94498900000002,41.40380899999997
037_Talich_1,46.475646000000005,25.929115999999993,39.30897900000001,38.69360599999999,31.56530600000002,47.16711999999998,18.973287999999997,29.82068000000001,54.726031999999975,39.28294800000003,42.944988999999964,40.27746000000002
038_Martinu_1,45.335646,24.769116000000004,46.52897899999999,41.59360600000001,34.44530599999999,50.54712000000001,17.293288000000018,28.340679999999963,62.34603200000004,43.14294799999999,49.764989000000014,40.89745999999997
039_Janacek_1,45.975646,25.809115999999996,42.708979,41.03360599999999,38.20530600000001,48.04712000000001,19.53328799999997,29.14068000000003,57.60603199999997,47.48294800000002,44.62498900000003,45.95745999999997
040_Kocian_1,38.457550999999995,22.507211000000005,37.268979,38.47360599999999,32.665306000000015,41.76711999999998,16.83328800000001,26.78067999999999,51.786032000000006,41.102948000000026,41.42498899999998,38.78380900000002
041_Stamitz_1,47.375645999999996,25.009116000000006,44.788979,46.353605999999985,35.32530600000001,44.967119999999994,17.613287999999983,27.960680000000025,61.36603200000002,47.64294799999999,43.904989,43.623808999999994
042_Wihan_1,40.475646,23.389115999999994,44.828979000000004,40.273606000000015,33.80530599999997,53.84712000000002,16.365397,25.98857099999998,58.62603200000001,41.84294799999998,53.524989000000005,44.423809000000006
043_Melos_1,40.795646,21.029116000000002,40.848979,38.153605999999996,34.925306000000006,45.62711999999999,15.813288,25.240680000000026,54.36603199999996,42.46294800000004,43.984988999999985,40.837459999999965
044_Vlach_1,43.775645999999995,24.069116,46.108979000000005,46.773606,39.66530599999999,49.22712000000001,18.31328799999997,30.260680000000036,65.67523899999998,49.69374099999999,46.74498900000003,42.863809
045_Seoul_1,44.675646,22.809115999999996,37.52897900000001,38.45360599999999,32.085306,43.34711999999999,16.973287999999997,26.140680000000003,51.806032000000016,39.64294799999999,40.44498900000002,42.49745999999999
046_PavelHaas_1,43.855646,23.409115999999997,43.188979,44.29360599999998,35.84530600000002,44.987120000000004,17.213287999999977,27.260680000000036,59.60603199999997,45.70294799999999,44.36498900000004,41.597459999999955
047_Zemlinsky_1,42.455645999999994,22.768708000000004,45.629386999999994,42.21360600000001,34.625305999999995,50.732517,16.98789099999999,27.940679999999986,63.66603200000003,43.322948,47.64498900000001,40.55745999999999
048_Armida_1,44.915646,23.969116,34.968979000000004,33.83360599999999,30.445306000000016,40.08712,17.77328799999998,27.200680000000006,47.766031999999996,38.985397000000034,36.62253999999996,36.697460000000035
049_Haba_1,45.575646,24.089116000000004,38.208979,35.793606,33.305306,44.58712,17.57328799999999,27.269252000000023,52.177459999999996,41.84294799999998,42.68498900000003,41.81745999999998
050_Guarneri_1,40.095645999999995,21.749116,34.628979,36.71360600000001,28.185305999999997,41.507119999999986,15.033287999999999,23.172109000000006,48.534602999999976,35.78294800000003,42.56498899999997,35.897460000000024
051_Helikon_1,41.17564599999999,21.549116000000005,35.688978999999996,34.913606,30.845305999999994,40.82712000000001,17.153288000000003,27.28067999999999,46.96603200000001,38.42294800000002,40.60498899999999,40.337459999999965
052_Shoreline_1,47.775645999999995,28.829116000000006,42.408979,41.773606,35.44530599999999,50.767120000000006,20.81328799999997,31.940680000000043,56.766031999999996,44.822948,49.88498900000002,45.27745999999996
053_VIVArdo_1,45.615646,24.309115999999996,40.208979000000014,37.45360599999999,33.44530599999999,45.94712000000001,17.893288000000013,27.30068,56.08603199999999,41.40294799999998,44.024989000000005,40.00380899999999
054_Smetana_1,37.67564599999999,21.669116000000002,37.128979,38.293606,32.185306,47.267120000000006,17.33328800000001,26.08068,52.12603200000001,40.022947999999985,48.524989000000005,43.21746000000002
055_Smetana_1,39.915646,23.689116,41.268978999999995,43.513605999999996,36.585306,46.90711999999999,19.153288000000003,30.08068,58.266031999999996,45.66294800000003,46.62498899999997,45.177459999999996
056_Avalon_1,45.135646,24.649116,36.688979,36.913606,30.965305999999998,42.52712,17.993288000000007,28.100679999999983,50.506032000000005,39.522947999999985,40.764989000000014,41.26380899999998
057_KarpFamily_1,63.295646,27.769115999999997,43.308978999999994,43.67360600000001,38.20530600000001,49.38712000000001,20.393287999999984,31.160680000000013,58.006032000000005,47.92294799999996,46.12498900000003,47.46380899999997
058_Dover_1,49.955645999999994,23.769115999999997,40.14897900000001,40.45360599999999,33.72530599999999,44.42712,17.61328800000001,27.080679999999973,55.326032,40.76049900000004,43.02743799999996,42.703809000000035
059_Buffa_1,113.615646,25.689116000000013,40.328979000000004,39.29360599999998,37.72530600000002,47.32711999999998,20.313288,32.260680000000036,53.726031999999975,45.762947999999994,43.30498899999998,49.90380900000008
062_Jasper_1,52.375645999999996,24.548299999999998,39.409795,37.613606000000004,33.345305999999994,42.12711999999999,17.753287999999998,27.700680000000034,51.486031999999966,41.342948000000035,41.844989,41.743809
