,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14
013_Wihan_1,38.698957,30.903764000000002,50.10884299999999,43.29977400000001,22.224852,63.768798000000004,30.12825399999997,35.459411000000046,40.86639399999996,44.14186000000001,58.93405899999999,51.534875,48.67483000000004,41.740770999999995
014_Artemis_1,36.938956999999995,32.463764,49.94884300000001,41.73977399999998,21.62444400000001,61.729206000000005,33.16825400000002,34.47941099999997,43.006394,40.50186000000002,57.97405900000001,49.094874999999945,43.974830000000054,41.56077099999993
015_Guarneri_1,39.538956999999996,33.103764,50.96884300000001,44.939774,22.52485200000001,60.748797999999994,33.128254,35.79941100000002,42.92312899999996,38.865125000000035,56.774058999999966,52.534875000000056,45.614829999999984,39.660770999999954
016_Weithaas_1,36.498957,30.883764,49.408843000000005,39.659774,20.684852000000006,57.368798,31.108254000000017,33.53941099999997,39.78639400000003,41.18185999999997,56.39405900000003,47.914874999999995,42.15482999999995,41.78077100000007
017_Vlach_1,43.278957,31.783764000000005,49.53931999999999,47.82929700000001,22.904852000000005,60.248797999999965,32.68825400000003,32.119411000000014,41.006394,39.64186000000001,55.41405899999995,49.83487500000001,46.29482999999999,39.68077100000005
018_Pacifica_1,39.158957,32.02376400000001,52.248842999999994,49.539773999999994,22.004852,63.02879800000002,32.06825399999997,35.119411000000014,40.90639399999998,40.021860000000004,58.95405900000003,51.98081599999995,46.960000000000036,42.72965999999997
019_Vlach_1,36.318957,27.563764,43.348843,44.699774000000005,20.484443999999996,54.97999999999999,28.35746000000003,27.802539999999965,36.143264999999985,35.061860000000024,49.93405899999999,44.654875000000004,41.77483000000001,35.60077100000001
020_Wister_1,35.918957000000006,30.963763999999998,50.768843000000004,43.39977400000001,21.444851999999997,59.008797999999985,30.728253999999993,34.399410999999986,39.46639400000004,40.84186,53.49405899999999,48.79487499999999,41.95482999999996,42.08077100000003
021_Audubon_1,36.578957,30.603763999999998,46.688843000000006,39.97977399999999,21.02485200000001,58.96879799999999,31.210793999999993,34.639999999999986,39.26326500000005,39.30185999999998,54.814058999999986,47.280816000000016,44.42888900000003,41.64077099999997
022_Vlach_1,40.635692000000006,32.443763999999994,49.148843,47.89977400000001,22.964852000000008,64.02879799999997,34.42825400000004,35.299410999999964,41.926394000000016,43.19673499999999,65.67918400000002,52.85487500000005,48.3348299999999,42.66077100000007
023_Lindsay_1,34.258957,29.863763999999996,46.144626,42.90399099999999,21.084852000000012,58.308797999999996,32.92825400000001,33.57941099999999,40.926394000000016,39.041859999999986,53.094059000000016,48.614874999999984,43.07483000000002,41.180770999999936
024_Cecilia_1,40.938957,32.803763999999994,51.22884300000001,41.91977399999999,21.324851999999993,63.148798,34.64825400000001,35.819411,43.70639399999999,45.861860000000036,61.57405899999998,51.894874999999956,46.55483000000004,47.300771000000054
025_Vogler_1,40.978957,33.263764,50.868843,43.83977399999999,23.24485200000001,62.38879800000001,33.848254,36.879411000000005,43.66639399999997,44.76186000000001,63.97405900000001,51.35487500000005,45.69482999999991,43.72077100000001
