,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16
021_Navarra_4,33.513062,27.434285000000003,38.746213,15.002223,24.129341999999994,15.597732000000008,24.118368000000004,9.936734999999999,18.098049000000003,33.18630400000001,6.616099999999989,6.716327000000007,12.901768000000004,5.283310999999969,19.881406000000027,24.527483000000018
022_EnergieNove_4,30.493062000000002,29.374284999999997,38.786213,19.24222300000001,27.949342,18.68195,25.694150000000008,11.936734999999999,15.598048999999975,25.066304000000002,7.076100000000025,7.076326999999992,14.081768000000011,5.803311000000008,20.061405999999977,23.117007
023_Hagen_4,35.133062,29.894285000000004,37.64621299999999,13.105624000000006,20.165941000000004,14.441949999999991,15.954149999999998,8.954285999999996,16.340497999999997,30.206304000000017,6.216870999999998,6.295556000000005,12.301767999999981,5.123311000000001,16.321405999999996,27.12748300000004
024_Acies_4,35.113062,30.154285,38.446213,17.702223000000004,31.92934199999999,17.601950000000016,19.43414999999999,10.316734999999994,13.641223999999994,26.76312900000002,6.196100000000001,6.240770999999995,13.097324000000015,5.423310999999956,22.681406000000038,24.327482999999972
025_Taurus_4,34.353062,37.614284999999995,38.12621300000001,15.742222999999996,24.669342000000015,16.041949999999986,20.45415,11.956735000000009,17.71804899999998,30.946304000000026,7.476099999999974,7.496327000000008,14.601767999999993,5.983311000000015,28.20140600000002,26.607483000000002
026_Austrian_4,33.233062000000004,28.414285,38.26621299999999,17.682223000000008,28.349341999999993,18.561949999999996,22.53415000000001,10.076734999999985,13.198049000000026,28.292563,7.849840999999998,8.01632699999999,15.761768000000018,6.3433109999999715,26.381406000000027,22.52748299999996
027_Calidore_4,32.593061999999996,27.674285000000005,36.826213,15.922222999999988,24.309342,16.94194999999999,19.914150000000006,9.856735000000015,14.758049,27.24630399999998,6.7161000000000115,6.776327000000009,13.621768000000003,5.663310999999993,22.441405999999972,22.06748300000004
028_Guarneri_4,28.653062,29.314284999999998,35.106213000000004,15.422223000000002,24.289342000000005,17.061949999999996,21.45415,9.996735000000001,16.758049,30.786304,6.7561000000000035,6.836326999999983,13.641767999999985,5.583311000000037,19.93936500000001,21.629524000000004
029_PavelHaas_4,32.873062000000004,33.774285,39.086213,15.202223000000004,25.40934199999998,16.42195000000001,20.554149999999993,10.376734999999996,14.918049000000025,30.926303999999988,6.556100000000015,6.376326999999975,13.201767999999987,5.563310999999999,21.96140600000001,33.667483000000004
030_Melos_4,30.933062,34.35428499999999,37.226213,17.482223000000005,28.92934199999999,17.781949999999995,21.03415000000001,11.296735000000012,15.118048999999985,31.686304000000007,6.536100000000005,6.556326999999982,13.661767999999995,5.603311000000019,22.081406000000015,27.107483000000002
031_Diotima_4,39.633061999999995,34.51428500000001,42.306213,15.445623999999995,21.12594100000001,16.301949999999977,20.77415000000002,9.996735000000001,13.061223999999982,31.76312900000002,7.0560999999999865,6.756326999999999,13.741767999999979,5.64331100000004,18.46140600000001,17.46748299999996
032_Brodsky_4,31.793062,29.354284999999997,38.006212999999995,19.062223000000003,31.109341999999998,17.341949999999997,20.174149999999997,11.25673500000002,13.701223999999996,27.98312899999999,7.196100000000001,7.176327000000015,14.881767999999965,6.043311000000017,18.601405999999997,15.947483000000034
033_Janacek_4,34.373062,30.748571,40.051927000000006,16.48222299999999,19.829341999999997,16.68195,16.134150000000005,9.856735000000015,13.098048999999975,26.226304,6.956100000000021,6.896326999999985,13.961768000000006,5.82331099999999,22.20140600000002,19.407483000000013
034_Martinu_4,36.493062,30.394284999999996,39.40621300000001,15.042222999999993,21.609342000000012,15.501949999999994,18.674149999999997,8.896735000000007,14.78122399999998,30.563129000000004,6.516100000000023,6.4963269999999795,12.781768000000028,5.342675999999983,21.882041000000015,25.147482999999966
035_Casal_4,33.253062,25.214285000000004,37.046213,14.722223,21.00934199999999,15.781949999999995,18.47415000000001,10.396735000000007,15.498049000000009,28.066304000000002,6.0960999999999785,6.136326999999994,12.681768000000005,5.283310999999998,22.961405999999982,21.187483000000043
036_Talich_4,27.773878,27.314284999999998,37.686212999999995,14.762223000000006,21.76934200000001,14.501949999999994,17.094149999999985,9.096735000000024,13.078048999999993,28.306303999999983,6.076100000000025,6.036327,12.201767999999987,5.0033109999999965,19.261406000000022,18.487482999999997
037_Henschel_4,28.933878,28.694284999999997,36.246213000000004,17.322222999999994,23.389342000000013,16.14194999999998,17.714150000000018,9.69673499999999,15.098049000000003,31.926303999999988,7.056100000000015,6.936327000000006,13.941767999999996,5.763311000000016,20.721406,23.56748299999998
038_Cecilia_4,30.393061999999997,28.614285000000002,35.726212999999994,13.822223000000008,21.289342000000005,14.801950000000005,19.394149999999996,10.016734999999983,16.27804900000001,29.006304,6.456099999999992,6.55632700000001,12.901768000000004,5.203310999999985,19.261405999999994,22.707483000000025
039_Gerhard_4,32.713062,29.130612,38.22988599999999,16.582223,25.269341999999995,18.301950000000005,17.094150000000013,9.417958999999996,13.836825000000005,27.906304000000006,6.256099999999975,6.416327000000024,12.721767999999997,5.163310999999965,21.021406000000013,22.707483000000025
