,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14
016_Wihan_2,9.339274000000001,26.171746,19.081633000000004,31.954421999999994,18.498050000000006,16.527119999999996,24.887618999999987,43.536734000000024,15.295238999999981,14.878231,8.532381000000015,8.623265000000004,25.088572,23.762856999999997
017_Lindsay_2,8.519274,24.471746000000003,14.741633,23.474422000000004,16.738049999999987,13.315283000000008,20.099456000000004,29.676733999999996,12.835239000000001,12.938231000000002,8.310339999999997,8.345305999999994,22.268572000000006,26.242856999999987
018_NewHelsinki_2,9.379274,28.151746000000003,15.421633,26.694421999999996,18.09805,12.72712,22.687618999999998,34.076734000000016,14.975238999999988,13.998231000000004,7.6243539999999825,7.891292000000021,23.948571999999984,27.602857
020_Vlach_2,9.960408,26.130612,14.121633000000003,26.954421999999994,19.59805,15.807119999999998,25.907618999999997,32.496734000000004,14.315238999999991,15.798231000000015,9.684353999999985,9.631292000000002,22.34857200000002,24.08285700000002
021_Navarra_2,9.399274,28.791745999999996,16.701633,29.214422,17.81805,14.287120000000002,26.14761899999999,38.41673400000002,14.315238999999991,13.838231000000007,8.744353999999987,8.925985999999995,26.193878000000012,29.062857000000008
022_EnergieNove_2,10.099274000000001,23.291745999999996,17.038368,25.837687000000003,22.59805,16.527119999999996,23.98761900000001,33.04054399999998,16.631429000000026,17.478230999999994,9.370339999999999,9.445305999999988,17.148572,19.58285700000002
023_Hagen_2,8.579274,24.591746,17.921633,25.734421999999995,16.658050000000003,12.167119999999997,27.467619000000013,33.29673399999999,14.635239000000013,13.748570999999998,7.654013999999989,8.051292000000018,20.428571999999974,27.58285699999999
024_Acies_2,9.219274,24.591746,18.841633,26.134421999999994,17.67805,14.36712,28.36761900000002,37.016733999999985,13.163810000000012,13.529659999999978,8.784354000000008,9.09129200000001,24.668571999999983,21.442857000000032
025_Taurus_2,10.359274,25.711745999999998,17.521633,25.754421999999998,16.198049999999995,13.187120000000007,20.807619000000003,25.956733999999983,11.615239000000003,12.878231,8.424354000000022,8.851292,19.388571999999982,20.922856999999993
026_Austrian_2,9.939682000000001,25.271746,15.521632999999994,26.654422000000004,18.078050000000005,14.167119999999997,26.48761900000001,36.05673399999998,16.555239,15.018231000000014,9.404353999999984,9.771292000000017,23.008571999999987,25.642856999999992
027_Calidore_2,9.200090000000001,24.611745999999997,15.621633000000003,25.314422,18.918049999999994,14.547120000000007,22.84761900000001,31.796733999999987,15.07523900000001,15.538230999999996,8.904353999999984,8.971292000000005,23.448572000000013,18.742856999999987
028_Guarneri_2,10.419274,27.431746,14.721632999999997,24.134422000000008,15.758049999999997,11.387119999999996,20.107619,27.356734000000003,11.555239,12.35823099999999,8.024354000000017,8.165986000000004,21.953878000000003,26.08285699999999
029_PavelHaas_2,10.339274,30.651746000000003,17.281633,27.634422,17.09805,13.887119999999996,24.667619000000002,33.23673400000001,12.755238999999989,13.718231000000003,8.684353999999985,8.831292000000019,23.988572000000005,25.562857000000008
030_Melos_2,8.859274,24.031746,17.881633,28.714422,19.45805,15.395283000000006,21.719456000000008,36.39673399999998,15.035239000000018,14.918230999999992,8.824354,8.971292000000005,21.728571999999986,25.002857000000006
031_Diotima_2,9.919274000000001,27.811746,18.641633,29.334421999999996,17.31805,10.467120000000008,20.707618999999994,35.776734000000005,13.695238999999987,13.838231000000007,7.630340000000018,8.00530599999999,21.84857199999999,26.822857
032_Brodsky_2,9.740499,23.261134000000002,12.492244999999997,22.494422000000007,19.978049999999996,13.267119999999991,19.207619000000008,30.216734000000002,15.355238999999983,16.798231000000015,9.30435399999999,9.61129200000002,18.868572,20.602857
033_Janacek_2,9.519682,26.891746000000005,16.621632999999996,26.794421999999997,15.938050000000004,11.187119999999993,20.587619000000004,32.41673399999999,13.275239,13.018231000000014,8.424353999999994,8.471292000000005,21.788571999999988,21.12285700000001
034_Martinu_2,9.359682,28.131746000000003,13.941632999999996,27.094422,15.698049999999995,11.547120000000007,26.22761899999999,30.816733999999997,12.835239000000001,13.798231000000015,8.56435399999998,8.885986000000003,24.333878,22.282857000000007
035_Casal_2,8.979274,26.881133999999996,14.452245000000005,25.934421999999998,15.738050000000001,10.447119999999998,22.707618999999994,33.63673400000002,12.975238999999988,13.218231000000003,8.58435399999999,8.331292000000019,23.708571999999975,26.36285700000002
036_Talich_2,8.579274000000002,23.651746000000003,16.181632999999998,25.774422,18.658050000000003,15.167119999999997,23.86761899999999,34.556734000000006,14.815238999999991,15.178231000000011,8.044353999999998,8.511291999999997,19.308571999999998,20.062857000000008
037_Henschel_2,10.759274,29.071745999999997,18.241633,29.274421999999994,16.658050000000003,11.907120000000006,24.747619,34.67673400000001,13.575238999999982,14.098230999999998,9.004354000000006,9.151292000000012,22.06857199999999,24.102857
038_Cecilia_2,10.02009,26.391745999999998,15.341633000000002,25.634421999999994,16.518050000000002,14.087119999999999,22.307619000000017,38.256733999999994,13.51523899999998,13.538231000000025,8.024353999999988,8.431292000000013,20.34857199999999,20.242856999999987
039_Gerhard_2,9.199274,27.051746,14.461632999999999,27.634421999999994,17.022766000000004,13.322404000000006,18.547618999999983,29.41673400000002,13.115239000000003,12.938231000000002,7.790339999999986,8.185305999999997,23.948572000000013,19.022856999999988
040_Zaide_2,9.759274,29.551746,17.801632999999995,28.134422,18.998050000000006,14.327119999999994,18.807619000000003,35.85673399999999,14.59523900000002,15.038230999999996,9.124353999999983,9.491292000000016,19.60857200000001,23.402856999999983
041_Medici_2,10.179274000000001,25.151746000000003,14.881632999999994,23.521088000000006,19.491383999999996,14.427120000000002,23.387619,27.13673399999999,15.415239000000014,15.878231,9.664354000000003,9.711291999999986,18.51469399999999,21.0
042_Juilliard_2,10.839274,28.751745999999997,15.141633000000006,28.154421999999997,17.478049999999996,13.947119999999998,25.887619,37.640544000000006,13.391428999999988,14.338231000000007,8.724354000000005,8.911292000000003,21.288571999999988,25.822857000000027
043_Nostitz_2,9.399274,25.111746,18.561633,26.554421999999995,16.418050000000008,14.047119999999993,21.64761899999999,30.89673400000001,12.275239,13.418230999999992,7.924354000000022,7.9459859999999765,19.533878000000016,22.762856999999997
044_Janacek_2,9.279274000000001,23.951746,16.181633000000005,26.254421999999998,15.738050000000001,12.00712,23.667619000000002,32.176733999999996,12.755238999999989,13.058231000000006,8.84435400000001,8.971292000000005,23.928571999999974,23.662857000000002
