,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15
026_Smetana_3,56.579456,27.338503000000003,8.799999999999997,15.801995000000005,65.243629,19.03287900000001,24.370884999999987,17.204579999999993,4.642358999999999,6.663128999999998,32.50585000000001,12.725668999999982,17.329432999999995,34.17501200000004,2.623219000000006
028_Taurus_3,50.22898,25.007891000000008,10.485963999999996,13.188140000000004,56.363629,18.692878999999976,23.790885000000003,14.004580000000004,4.422359,5.4831290000000195,28.52584999999999,12.585669000000024,13.029432999999983,24.67501199999998,2.8432190000000332
030_Austrian_3,61.730477,27.986394000000004,12.485963999999996,20.06814,79.04362900000001,19.932878999999986,25.550884999999994,13.864580000000018,4.782358999999985,6.763128999999992,33.405850000000044,12.42566899999997,18.98943300000002,32.61501199999998,2.70321899999999
031_Voce_3,47.930476999999996,24.266394000000005,9.745964,14.728139999999996,59.563629000000006,18.112878999999992,21.070885000000004,15.924579999999992,4.702359000000001,5.983128999999991,28.00585000000001,13.685669000000019,16.46943299999998,27.135012000000017,2.283218999999974
032_Heine_3,54.150477,26.246393999999995,11.425964000000008,14.508139999999997,59.22362899999999,20.03287900000001,24.330884999999995,15.204579999999993,4.6823590000000195,6.843129000000005,28.26585,13.005669000000012,14.009433000000001,26.955011999999954,2.3232189999999946
034_Melos_3,55.610476999999996,25.566394000000003,11.565963999999994,15.94814000000001,63.70362900000001,20.31287899999998,21.390884999999997,15.544580000000025,5.138684999999981,7.146803000000006,29.80585000000002,12.105668999999978,17.669433000000026,27.83501199999995,2.3832190000000537
036_Brodsky_3,58.510477,28.866394,9.245964,16.388139999999993,62.943629000000016,19.172878999999995,24.130885000000006,15.084579999999988,4.5223589999999945,6.5231290000000115,30.925849999999997,12.145668999999998,18.769432999999992,28.575012000000015,2.2645799999999667
037_Janacek_3,62.45047700000001,29.146394,12.72596399999999,16.908140000000003,69.32362900000001,19.432878999999986,24.43088499999999,13.584580000000017,4.462358999999992,6.123128999999977,34.425850000000025,13.265669000000003,18.769432999999992,29.453787000000034,2.8644439999999918
038_Mandelring_3,47.770477,24.626394000000005,11.232108999999994,16.001994999999994,62.143629000000004,18.472879000000006,22.850885000000005,14.284579999999977,4.462359000000021,6.003129000000001,29.385849999999976,11.405668999999989,14.229433000000029,27.555011999999977,2.4232190000000173
039_Talich_3,54.710477000000004,25.366393999999993,10.48596400000001,14.588139999999996,63.20362899999999,17.992879000000016,22.110884999999996,15.444580000000002,4.5223589999999945,7.923128999999989,34.70585000000003,11.385669000000007,17.389432999999997,27.495011999999974,2.803219000000013
