,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16,motif17,motif18,motif19
014_Guarneri_1,32.676734,19.121632999999996,20.591701,19.786620999999997,30.961905,173.00641700000003,17.282561999999984,17.10222299999998,20.489796000000013,12.325827000000004,12.136621999999988,21.58986299999998,18.393493000000035,16.978774999999985,18.783991000000015,16.606667000000016,24.055894999999964,33.48893499999997,28.90802700000006
015_Tokyo_1,34.296734,20.121633000000003,21.491700999999992,20.086621000000008,30.141904999999994,179.166417,18.40256199999999,18.327121000000034,21.644898000000012,12.585826999999995,12.996622000000002,21.709863999999982,19.933492,18.102266999999983,20.000180999999998,17.20698500000003,24.975894999999923,35.02893500000005,28.868026999999984
016_Panocha_1,32.088571,18.401633000000004,21.591701,20.086620999999994,28.081905000000006,165.806417,16.582561999999996,17.60222299999998,20.649796000000038,11.585826999999995,11.69662199999999,22.749864000000002,18.373492,16.44226699999996,18.560182000000054,16.946983999999986,23.915894999999978,32.148934999999994,30.608026999999993
017_Endellion_1,33.52857100000001,19.861632999999998,22.131701,21.066620999999998,33.241905,179.746417,17.222561999999982,18.442223000000013,21.709795999999983,13.065827000000013,12.89662199999998,24.269863000000043,19.933493,18.09927399999998,19.763173999999992,17.726985000000013,24.815894999999955,34.448935000000006,30.82802700000002
024_Vlach_1,33.428571,20.701633,23.771701,24.266621,33.581905000000006,189.32641699999996,16.702562,20.242223000000024,22.529795999999976,12.945827000000008,12.856622000000016,23.309864000000005,19.15349199999997,18.382267000000013,20.16018200000002,19.04698400000001,27.875895000000014,36.84893499999998,31.728026999999997
027_Albion_1,33.776734000000005,20.061632999999993,22.871701,21.026621000000006,29.181905,173.546417,17.202562,17.582223,21.369796000000008,12.74582700000002,13.056622000000004,22.729862999999966,19.673493000000008,18.422266999999977,20.160181000000023,18.446984999999984,26.03589500000004,35.72893499999992,28.668027000000052
028_Alexander_1,34.256734,19.801632999999995,21.691701000000002,20.026621000000006,28.981904999999998,173.62641699999998,18.48256200000003,18.522222999999997,21.569795999999997,12.50582700000001,12.89662199999998,23.009862999999996,19.73349300000001,17.922266999999977,19.840182000000027,17.406984000000023,24.27589499999999,32.268935,28.608026999999993
029_Varese_1,34.268571,20.121632999999996,22.351701,20.746621000000005,29.101905000000002,175.46641699999998,17.642561999999998,18.38385500000004,22.768163999999956,12.765827000000002,12.896622000000036,22.649862999999982,19.513492999999983,17.542267000000038,19.960180999999977,17.40698500000002,24.695895000000007,33.50893499999995,30.64802700000007
031_Sacconi_1,34.288571,21.521633,23.411701,22.526621000000006,32.241905,187.06641699999997,18.562562000000014,19.86222300000003,23.189796,13.505826999999954,13.176622000000009,25.64986300000004,20.333492999999976,18.816280000000006,20.886168999999995,19.26698399999998,27.635895000000005,38.188935000000015,35.208027000000016
032_Lipkind_1,35.748571,22.141633,23.591701,23.034512000000007,33.45401399999999,194.26641700000002,18.96256199999999,19.86222299999997,24.549796000000015,14.205827,14.576621999999986,25.809863000000007,21.333493000000033,18.802266999999972,22.020182000000034,18.82698400000004,28.055894999999964,35.708935,32.90802699999995
