,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16,motif17
014_Panocha_1,-0.9016419491054132,-0.44403377371002245,-0.61467113422669,-0.18920799912361821,-0.40310356778863365,-0.17833926202665223,1.24754442316538,-1.1645826179045646,-1.6714837358040404,-0.17102356088866336,-1.1449194864746255,-1.029054968148725,-0.5609001347079813,-1.2750422803857195,-1.1571472785343655,-0.9684526381661044,1.0046978857491151
015_PavelHass_1,1.6374686507749947,0.23975960047479394,0.02789172386206205,0.27966956240736546,-0.07836843610446952,0.380457304918065,-0.6745719462380528,-1.5186604024793948,-1.989229006160858,-0.4560741016053439,0.11941820457675034,0.9707770342857257,-0.3351414911624386,0.7156722202303487,-1.0345879683873223,0.7867549202463027,0.7403594296681805
016_Wallinger_1,1.124972660549142,-0.2730854301638199,-0.677549174570375,1.0740164381030415,0.5657692167748997,-0.7700062152622345,1.7885845864048708,-0.6630362773697284,-1.5847051350408967,-0.24411344312370925,0.9342136054764856,0.5842548825547019,-0.9592977409648135,-1.2750422803857195,-1.1328761093723845,-1.2041470741736322,0.24785145174113585
017_Excelsior_1,1.3299710566394833,0.4401817963565493,-0.026372960632741013,1.369372681747616,1.0238049142984122,-0.29959072121673463,-0.05159125027595674,0.37607021731897267,1.2866631726478868,0.7499089552729002,0.14751459771121914,-0.0037978184250219158,0.08960546877620806,0.6242259710854341,1.080000323838231,0.4413600118379953,1.2101620145749956
019_Lindsay_1,-1.1579640231841988,-0.7623513789339902,-0.05738135177262769,-0.22108669912885934,-0.48115824541740154,-0.19477445517208183,-1.087471018183976,-0.6630362773697284,-0.716919127409443,-0.9896302419211742,-1.3837388281176404,-0.5163598022422556,-0.25567245664637106,-0.4238887306523515,-0.05411348721092685,-1.7454976510049374,-0.37276262414540207
020_Artemis_1,0.8733837198928149,0.6818673855080792,0.9934585271230093,0.9153406887183644,1.7414800115261557,0.7502491506903068,-0.9467386408809262,-0.3779545510411309,-0.45658332511999616,-0.6168718425224418,0.33014115308529635,0.16412210893401813,-1.1053768632590049,-0.726364785516262,-1.361412795446111,1.9431807334711302,-0.02839749667177274
021_NewHelsinki_1,0.5379317990177123,0.4991295010276529,0.22169416848635792,-0.4097058183005783,-0.022086180600728356,0.8242075198447575,0.8061695531542163,1.6217859406224184,1.951522846057295,1.6635324832109608,2.563804407275996,1.7690293041650273,0.7936517265652558,1.0955258705245954,0.007166167862589997,-1.0461571394499942,0.2440672195710994
022_Vlach_1,0.8547475020664207,1.984611658739497,1.4542777162968794,-0.6137176285560805,0.761721015900109,1.3336985073531742,-0.8596646336620815,-0.4401267926875745,-0.36980472435686773,1.2176842015771878,-0.09130474393181563,0.2649539746029741,0.04997619488582563,1.046285582523486,0.7872197495980358,0.039124946368487803,-1.841044706120891
023_Lyris_1,0.2211160959690038,0.4519713372907711,0.7333326222944991,0.38779489451635596,1.1536246141505353,1.8596246880070206,-1.4149426959341975,-0.7744910197107855,0.30272943155751614,-1.077338100603221,-0.018005468702941594,0.44811631898897464,-1.3313459935398502,0.1740290522182154,0.2250493859017825,0.13312293885834647,0.009444825028624078
024_Schumann_1,0.8267931753268294,0.2161805186063504,0.22169416848635792,-0.2056940080450827,0.1412069853369448,0.2900637426181847,-0.7884751384989951,-0.718763648540257,-0.5216672756923578,0.8741617550724674,-0.9622929311005084,-0.7685726485039113,0.12965571613719584,0.19513203279010802,0.02462848646085232,0.6241941325059568,-0.6755011977485981
