,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16,motif17,motif18
015_Vlach_4,15.495692000000002,19.596235999999998,14.523083,12.979139000000004,10.199817999999993,14.831338000000002,17.044807000000006,12.949071000000004,13.820543999999984,22.349297000000007,14.551429000000013,12.172924999999992,13.290112999999991,14.022494999999992,38.08589500000002,50.839275000000015,29.690611999999987,51.15027199999997
016_Guarneri_4,13.775692000000001,18.716236000000002,15.803082999999994,13.639139,9.839818000000008,13.591337999999993,16.324807000000007,12.369070999999991,13.935011000000017,20.934829999999977,15.671429000000018,12.332924999999989,12.330113000000011,10.982495,35.145894999999996,31.93927499999998,20.628571000000022,36.332313
017_Amadeus_4,16.015692,19.396236,15.123083000000001,13.519139000000003,10.679817999999997,14.771338,17.384806999999995,13.12907100000001,14.235011,22.434830000000005,15.43142899999998,12.692925000000002,14.150113000000005,13.642494999999997,37.325895,35.08784600000001,20.579999999999984,45.81231300000002
018_Excelsior_4,16.595692,23.040635,15.518684,14.299138999999997,11.159818000000001,15.851337999999998,18.486349000000004,14.287528999999992,16.915010999999993,23.57483000000002,15.271428999999983,13.37292500000001,14.390112999999985,14.00249500000001,39.24589499999999,36.20784600000002,21.42204099999998,44.09027200000003
019_Lindsay_4,14.155692,18.636236000000004,14.263083000000002,12.939138999999997,9.459818000000006,14.031337999999991,16.504807,12.469071,13.535010999999997,21.614829999999998,14.511429000000021,11.992924999999985,12.890113000000014,12.122494999999986,31.885895000000005,36.779274999999984,22.210612000000026,47.310272
022_Talich_4,14.515692,19.096236000000005,15.043082999999996,13.439139000000004,10.139817999999998,14.391338000000005,17.144807,12.649070999999992,13.375011,22.154830000000004,14.67142899999999,12.272925000000015,12.950112999999988,12.102495000000005,33.125895000000014,35.819274999999976,22.630611999999985,49.290272000000016
023_Talich_4,13.975691999999999,18.196236,13.963083000000005,12.779139,9.839817999999994,13.991337999999999,16.104807000000008,12.349070999999995,12.880544,20.949297000000016,13.95142899999999,11.87292500000001,12.710112999999978,12.422494999999998,34.86589500000002,36.799274999999994,26.470612000000017,47.810272
024_Smetana_4,13.815692,18.136235999999997,14.643083000000004,13.179139,10.479817999999995,14.211337999999998,17.084807000000012,12.969071,13.235011,21.474829999999997,14.971429,12.712924999999984,13.150113000000005,12.50249500000001,40.765895,38.71927500000001,23.170612000000006,47.79027199999996
025_Emerson_4,14.495692,18.296235999999997,15.003083000000004,14.099139000000001,9.839818000000001,14.031337999999991,15.984807000000004,12.149071000000006,13.160544000000002,21.109296999999998,14.71142900000001,12.692924999999974,13.27011300000001,12.46249499999999,33.645895000000024,32.947846,21.242040999999972,37.270272000000034
026_Wihan_4,15.155692,20.716236000000002,15.803083,14.699138999999995,11.359818000000004,14.871337999999994,17.264807000000005,13.509071000000006,15.35501099999999,23.694829999999996,15.111429000000015,13.032925000000006,14.110112999999984,12.936236000000008,42.03215400000002,42.639275,23.050612,53.010271999999986
027_Endellion_4,15.515692000000001,20.316235999999996,14.443083000000001,13.459139000000008,10.739818,15.191337999999988,17.424807,13.389071000000001,15.115010999999996,23.434830000000005,14.591429000000005,12.61292499999999,13.350113000000022,12.342494999999985,44.045895,42.170703,26.699184000000002,52.310272
028_Juilliard_4,14.935692,21.676236,16.283082999999998,15.679139,10.999818000000005,15.151337999999996,18.004807,13.709071000000009,16.875011,22.934830000000005,16.17142899999999,14.37292500000001,14.970112999999998,13.922494999999998,40.78589499999998,36.41927500000003,24.690611999999987,45.47027200000002
029_Panocha_4,13.955691999999999,18.856236,14.283083000000005,12.739138999999994,9.999817999999998,14.251338000000004,16.804806999999997,12.389071000000001,13.62054400000001,21.42929699999999,14.391428999999988,12.032925000000006,12.530113,17.102495000000005,38.06589500000001,45.859275,25.230612000000008,49.09027199999997
030_Sevcik-Lhotsky_4,14.355692000000001,18.596236,14.123083000000001,12.699138999999995,10.459817999999999,14.691338000000002,17.604807000000008,13.249071,14.455010999999985,22.05483000000001,14.331428999999986,11.792925000000025,13.390112999999985,12.842495000000014,39.50589499999998,35.507846,21.439999999999998,45.992313000000024
031_Medici_4,16.555691999999997,22.596236,16.263083,15.339138999999996,12.199818000000008,17.351338,20.064807000000002,15.269070999999983,16.61501100000001,26.734830000000017,16.631428999999997,14.672924999999992,15.27011300000001,14.662494999999979,41.573740999999984,35.88000000000005,23.862040999999977,47.03027199999997
032_Talich_4,15.115692,19.596236000000005,14.703083,13.319139,10.579817999999996,14.951338000000007,17.04480699999999,13.089071000000004,14.255010999999996,22.974829999999997,14.951429000000019,12.432924999999983,13.630112999999994,13.662495000000007,33.905895000000015,36.66784599999997,22.022041,48.430272
033_Sacconi_4,15.755692,21.456235999999997,15.953650000000003,14.928571999999996,11.179817999999997,15.611338000000003,17.984807000000004,13.609071,16.43501099999999,24.59483,16.051429000000013,13.692925000000002,15.330112999999983,14.342495000000014,55.38589499999998,47.45927500000005,26.45061199999998,56.810272
034_Prazak_4,14.455691999999999,18.436236,14.543083000000003,13.319139,10.319818000000005,14.511337999999995,17.144807,12.909070999999997,13.155011000000002,22.214830000000006,14.691429,12.472925000000004,12.550112999999982,13.162495000000007,38.78589500000001,42.779274999999984,21.79061200000001,46.89027199999998
035_Czech_4,15.254059,18.596236,14.823082999999997,13.439139000000004,10.039817999999997,14.311338000000006,17.324806999999993,13.109615000000005,14.954467000000008,22.154829999999976,14.891429000000016,12.512924999999996,12.950112999999988,12.22249500000001,52.56589499999998,51.607845999999995,27.442041000000017,67.73027200000001
