,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16,motif17,motif18,motif19
024_Vlach_1,-0.24870912880896898,0.8469689453076198,2.0100539020064327,2.6619993502719894,1.380405648725541,1.5243739359217015,-1.3277398471864121,1.9171798181685482,0.6443104375183601,0.2496105110473328,0.05798046606248733,0.4961633228221641,-0.19697538720649654,0.9643566320860033,0.4495086716895416,2.0727734591585643,1.9306949329965442,1.2406935910761552,1.0277085667816908
027_Albion_1,-0.06111006721738835,0.1483067248251431,1.0287576448048257,0.23189838487254455,-0.43573511153705685,-0.22620027554475855,-0.6333806094648573,-0.8864863968962211,-0.4977946486824761,-0.10783982167309585,0.39074105532875136,-0.02207533442698005,0.5166548110221622,1.0152745892976598,0.44950744858759795,1.2747548137736144,0.5056224346953149,0.7221383458830674,-0.359720850152207
028_Alexander_1,0.19752611630572123,-0.13552480224585747,-0.25783078130395004,-0.5181327772877792,-0.5182869642762669,-0.2173253745994297,1.144179039102364,0.10428286707402397,-0.30087997864785493,-0.5367802209376509,0.12453258391568339,0.2281084135833959,0.5989965986220287,0.37880012415137504,0.058116048734922654,-0.10848114031785429,-0.8574903897667859,-0.8798269651597412,-0.3869253485234872
029_Varese_1,0.20390419235647755,0.21380630799537698,0.461786473977226,0.021889659467653057,-0.4687558526327397,-0.013202652856825273,-0.022344480269892192,-0.04155836858235134,0.8790012178524167,-0.07209478840108346,0.12453258391577797,-0.0935564052870657,0.29707671075582553,-0.10492046935972314,0.20488705924090028,-0.10847981028456528,-0.5322021021110539,-0.3057122294103046,0.5380275960991628
031_Sacconi_1,0.21468070000327172,1.7421299153007825,1.61753539912579,1.3569451281130303,0.8273082353728399,1.2736579842161126,1.2552765171377909,1.516656073159304,1.2941288486326716,1.2504714426644925,0.5903974088885288,2.5869837519667302,1.4224144746206155,1.5168330161690633,1.3374647846925143,2.3653807834785345,1.744815911478983,1.8611079022892947,2.605569472314395
032_Lipkind_1,1.0013657582194022,2.418958941393171,1.8137946505661113,1.7378792050937997,1.327617453732182,2.0723990692958725,1.810763907315003,1.516656073159244,2.633148604868185,2.501547607186145,2.9197215337524716,2.7299458936869017,2.794777601285083,1.4989951828088304,2.7244782926133295,1.7801661348385938,2.070104199134671,0.7128784307903689,1.5627303680829847
033_Cypress_1,-0.36285228132768604,-0.2665239685863175,-0.9338348695983966,-1.658180143771479,-1.269508824203065,-1.8103700942862695,-1.7443553898193607,-1.814015069549214,-1.2657618618175714,-1.1801908198344835,-1.3396140088558595,-1.326603984110401,-0.8557096880053504,0.22604625251626095,-0.3332765742196963,-0.8266991181942692,-2.2051132957690607,-1.7409990687839356,-0.6589703322360313
035_Jupiter_1,-0.4750157893916884,0.2793058911656109,-0.7375756181580752,-0.14311719620761731,0.06783119017211685,-0.15520106798211203,-0.38341128388508805,-1.0762081708479778,-0.556869049692868,-0.715505387297916,0.157808642842376,0.7106056418890883,-0.718472002975835,-0.4104282126299514,-0.08865740797508131,-1.3853117709537472,0.6295417823736597,0.1850632705046089,-0.4050616807710245
038_Takacs_1,0.2729616698332957,0.36663866872591755,0.047461387603210635,-1.6581801437714683,-0.8484943752331012,-1.1292214467321497,0.227624845309877,0.29400464102578067,-0.005507973595895212,0.6070608437677615,-0.20822800535058064,-1.3802156807688613,0.37941849835577,0.5315539957864892,-0.18650556371371868,-0.3478858029100369,-1.4151274543194257,-1.3891222952601043,-0.6136295016172139
039_Jerusalem_1,-0.3241446823365434,-0.15735799663593028,-0.41047686575752645,1.4526296035944681,0.7498853292443132,0.1997949698311143,-0.10566758879648193,0.2518442468142592,-0.4387202476720841,-0.3580550545774873,-0.5077125356901521,-0.5045725627326725,-0.88315557817549,-0.6141000414767943,-0.5289728856970405,-0.7202964548051959,0.8948554292408054,0.5727930462802538,1.1818673908854744
