,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16,motif17,motif18,motif19,motif20,motif21,motif22,motif23,motif24
026_Smetana_4,9.270068,9.162674999999998,14.783401999999999,28.130476,8.523083999999997,24.686621000000002,24.235510000000005,19.747890999999996,18.294603999999993,7.5939220000000205,18.378775999999988,34.39505700000001,36.73850299999998,10.816462999999999,12.039410000000032,35.151655000000005,79.77628199999998,5.935963000000015,5.931972999999971,13.164852999999994,7.322901999999999,8.982222000000036,10.289478999999972,10.447347000000036
027_Dissonances_4,9.010068,8.862675,14.403402000000003,30.690475999999997,7.663084000000005,23.38662099999999,23.415509999999998,16.88789100000001,15.174603999999988,7.053922,12.891656000000012,36.10217699999998,32.95850300000001,10.906531000000001,12.329341999999997,40.07165500000002,85.59628199999997,4.515962999999999,5.99197300000003,14.784852999999998,7.642901999999992,8.522222,10.989479000000017,9.107347000000004
028_Taurus_4,9.730068000000001,9.542675,15.483402000000002,29.710475999999993,7.383084000000011,24.346621,25.25551,19.447891,17.23460399999999,7.453922000000006,14.858776000000006,32.39505700000001,41.998503,12.356462999999962,13.109977000000015,35.52108800000002,79.376282,4.995962999999961,6.1119730000000345,13.704853000000014,5.142901999999992,8.422221999999977,9.26947899999999,8.387347000000034
029_Acies_4,9.450068,9.322675,17.383401999999997,35.730476,8.943083999999999,28.206621,27.295510000000007,16.587890999999985,16.01460400000002,6.793921999999981,18.411656000000022,34.72217699999999,39.358502999999985,12.376463000000001,16.39940999999999,42.07165500000002,100.49628200000001,4.795962999999972,6.191973000000019,17.364852999999982,8.882902000000001,8.922222000000033,9.989479000000017,9.527346999999963
030_Austrian_4,9.830068,9.722674999999999,16.703402000000004,44.89047599999999,6.203084000000004,21.686621000000002,28.095510000000004,19.847891000000004,19.974604,7.673921999999976,19.211656000000005,40.82217700000001,40.23850299999998,12.136462999999992,15.23941000000002,46.471655,87.27628199999998,5.195963000000006,6.631973000000016,15.764853000000016,7.702901999999995,9.342221999999992,10.689479000000006,10.02734700000002
031_Voce_4,9.230068,9.042675,15.843402000000001,29.490476,7.703084000000004,23.646620999999996,23.19551,17.687891000000008,14.434603999999979,6.233922000000007,15.891656000000012,32.48217700000001,35.998503,12.176462999999984,15.699410000000029,41.49165499999998,92.45628199999999,4.575963000000002,6.351972999999987,17.304853000000037,6.662901999999974,8.622222000000022,13.089478999999983,10.847347000000013
032_Heine_4,9.030068,8.922675,15.303402000000002,32.110476000000006,8.84308399999999,22.906621,25.07551000000001,17.047891000000007,14.814603999999974,6.513922000000008,18.491656000000006,31.392290000000003,39.348389999999995,12.216462999999976,14.47941000000003,37.031655,86.256282,4.8359629999999925,5.9519730000000095,14.174693999999988,7.413061000000027,8.522222,10.449478999999997,9.187346999999988
033_Guarneri_4,9.690068,9.442675,14.674285999999999,31.239592000000002,7.180408,19.069297000000006,24.275509999999997,16.987891000000005,13.73460399999999,6.513922000000008,13.871656000000002,31.517233000000004,29.509886999999992,8.710023000000007,11.139409999999998,38.571654999999964,84.67628200000001,5.155962999999986,6.631973000000016,16.32485300000002,7.242902000000015,9.522222,10.376146000000006,11.720679999999959
034_Melos_4,10.130068000000001,9.902675,17.123402000000002,30.950476000000002,8.743083999999996,24.286620999999997,22.995509999999996,14.047890999999993,19.934604000000007,6.973922000000016,15.711655999999977,33.63723300000001,34.463447,9.876463000000001,12.759410000000003,38.57165500000002,78.07628199999999,5.055962999999963,6.131973000000016,14.744853000000035,8.382901999999945,9.542222000000038,10.909478999999976,9.847347000000013
035_Diotima_4,10.930068,10.662675,17.723401999999997,28.470476000000005,10.483083999999991,23.92662100000001,27.135509999999982,19.74789100000001,11.77460400000001,12.653921999999994,11.931656000000004,29.522177,38.69850299999999,12.596463000000028,12.15940999999998,28.25165499999997,94.49628200000001,5.175963000000024,6.711973,17.464853000000005,9.602901999999972,9.802222000000029,19.929479000000015,10.647346999999968
036_Brodsky_4,10.050068,9.882674999999999,17.183401999999997,33.070476000000006,8.543083999999993,23.326621000000003,24.575509999999994,17.947891000000013,16.49460399999998,6.653922000000023,15.57165599999999,32.162177000000014,36.69850299999999,11.316462999999999,14.799410000000023,44.531655,89.876282,5.895962999999995,6.331973000000005,16.424852999999985,7.262901999999997,8.902221999999995,11.363765,7.953060999999991
037_Janacek_4,9.530068,9.242674999999998,16.163401999999998,34.930476,7.0430840000000074,18.606621000000004,24.295509999999993,20.207891000000004,22.154604000000006,6.133921999999984,14.651656000000003,35.902176999999995,37.25850299999999,9.596463000000028,11.339409999999987,45.75165500000003,86.93628199999995,5.575963000000002,6.011973000000012,16.684853000000032,7.022901999999988,8.442222000000015,10.309478999999953,9.747347000000048
038_Mandelring_4,9.150068,8.802674999999999,16.123402000000002,34.910475999999996,7.523083999999997,22.466621000000004,23.295510000000007,16.767891000000006,15.834603999999985,6.553922,17.591656,28.622176999999994,33.138503000000014,10.556463000000008,12.559409999999986,38.73165499999999,81.376282,4.735963000000027,6.011973000000012,14.924852999999985,7.282901999999979,9.362222000000031,11.829478999999992,10.627346999999986
039_Talich_4,9.290068000000002,9.502674999999998,14.223402,31.050476000000003,6.5830839999999995,19.706621,23.795509999999993,19.007891000000015,18.834603999999985,7.193922000000015,15.991656000000006,30.882176999999984,35.01850300000001,9.35646299999999,10.139409999999998,37.93165499999998,76.63628200000005,4.6759629999999675,6.17197299999998,15.684853000000032,7.002902000000006,8.522222,11.26947899999999,9.327346999999975
040_Zaide_4,11.150068000000001,11.442674999999998,18.503402000000005,33.650476,8.663083999999998,22.066620999999998,24.649931999999993,18.080771,19.267302,9.833922000000001,12.311656,31.022402999999997,40.35827699999999,12.676463000000012,13.379410000000007,39.51056699999998,86.43737000000004,5.655962999999986,7.17197299999998,16.12485300000003,9.142901999999992,10.56222200000002,9.669478999999967,9.807346999999993
041_Hermes_4,9.530068,9.682675000000001,17.503401999999998,32.53047600000001,8.683083999999994,25.526621000000006,27.19551,19.007891,19.574603999999994,6.613922000000002,15.871656000000002,36.78217699999999,39.678503000000035,11.676462999999956,15.779410000000041,46.67165499999999,81.436282,4.955962999999997,6.051972999999975,15.604852999999991,6.1229020000000105,9.269206999999994,13.242494000000022,10.70734699999997
042_Medici_4,10.050068,10.042675,16.203402000000004,30.310476,6.803083999999998,19.066620999999998,20.935509999999994,14.687890999999993,13.934604000000007,6.313921999999991,14.071656000000019,29.162176999999986,36.19850300000002,11.33646299999998,12.679410000000018,35.71165500000001,76.67628200000001,5.795962999999972,6.151972999999998,13.924852999999985,6.455147000000011,9.249977000000001,9.307573999999988,8.589252000000045
043_Juilliard_4,10.170068,10.182674999999998,17.043402000000004,32.670476,8.143084000000002,22.666620999999992,27.715509999999995,21.687891000000008,17.854603999999995,7.813922000000019,18.338775999999996,38.33505699999998,39.27850300000003,12.776462999999978,17.799410000000023,46.031655,89.936282,5.055962999999963,6.691973000000019,15.184852999999976,10.102902000000029,10.302221999999972,10.508527000000015,11.568299000000025
044_Petersen_4,8.667029000000001,8.365713999999999,13.663401999999998,33.270476,7.623084000000006,22.926620999999997,22.75551,16.927891000000002,16.174603999999988,6.033922000000018,13.011655999999988,29.51746,35.78322,11.016599000000014,13.899273999999963,42.171655000000044,83.876282,4.77596299999999,6.091972999999996,14.244852999999978,6.042902000000026,7.922221999999977,11.249479000000008,9.507346999999982
045_Janacek_4,10.470068,10.062675,14.963401999999999,38.530476,5.823084000000009,22.806620999999993,23.375510000000006,19.147890999999987,18.23460400000002,6.153921999999994,13.211656000000005,32.28217699999999,36.03850299999999,9.056463000000036,10.199409999999943,43.931655000000035,80.256282,5.395962999999995,6.471972999999991,14.464853000000005,6.382902000000001,9.042221999999981,9.669479000000024,7.367346999999995
046_Gabrieli_4,9.610068,9.882675,14.523402,29.410475999999996,6.323084000000009,21.60662099999999,27.25551,17.26789099999999,18.23460400000002,7.833922000000001,16.29165599999999,32.50217700000002,34.39850299999998,9.536462999999998,10.399410000000017,52.67165499999999,85.07628199999999,4.755963000000008,6.091972999999996,14.304853000000037,6.742901999999958,8.742222000000027,9.669478999999967,7.687347000000045
047_Merel_4,9.530068,9.462675,17.863401999999997,37.77047600000001,8.20308399999999,27.386621000000005,27.655509999999992,20.067891000000003,20.341904999999997,8.226620999999994,22.33165600000001,30.962176999999997,39.67850299999998,12.44657600000005,16.769296999999995,45.351654999999994,94.21628199999998,4.822630000000004,6.005306000000019,15.504852999999969,9.682902000000013,8.842221999999992,10.669479000000024,8.967347000000018
048_Wihan_4,8.910067999999999,8.602675,15.003402000000001,32.85047599999999,7.963084000000009,22.806620999999993,26.33551,19.915193000000016,18.46730199999999,6.833922000000001,14.97877600000001,32.515056999999985,34.098502999999994,11.646484999999984,14.149388000000044,40.77165499999995,84.936282,4.955962999999997,5.691973000000019,15.484852999999987,6.662902000000031,8.262222000000008,11.48947899999996,9.667347000000007
050_NewZealand_4,9.183039,9.282675,16.863401999999997,32.370476,8.223084,23.886621000000005,26.69551,18.947891,15.634603999999996,6.57392200000001,16.371656,31.882176999999984,38.19850300000002,12.19682499999999,15.759048000000007,45.77165500000001,94.79628199999996,4.715963000000045,5.971972999999991,14.884852999999964,9.582902000000047,8.642222000000004,11.56852699999996,10.928299000000038
051_Arianna_4,9.003039000000001,9.082675,16.203402,35.990475999999994,6.903084000000007,23.366620999999995,25.21551000000001,17.06789099999999,16.794603999999993,7.453922000000006,18.911655999999994,35.162177000000014,40.078502999999984,12.676463000000012,16.039409999999975,45.731655000000046,92.01628199999999,4.935963000000015,6.011972999999955,17.10485300000005,9.862901999999963,8.78222199999999,13.769479000000047,10.387346999999977
