,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16,motif17
019_Lindsay_1,12.889433,20.414217999999998,16.823968,8.357323999999998,15.230906999999995,11.702290000000005,18.354014000000006,4.304761999999997,10.409841,33.834580999999986,16.644149,22.604354,16.147755000000018,27.830112999999983,24.682131999999996,33.44968299999999,43.473265000000026
020_Artemis_1,17.249433,25.314218,19.535078999999996,9.582812000000004,19.314307999999997,14.002290000000002,18.551700999999994,4.407075000000006,10.64984100000001,34.854580999999996,19.084148999999996,24.22403700000001,14.868071999999984,26.970113000000026,20.842131999999992,49.58968299999998,45.29326500000002
021_NewHelsinki_1,16.529433,24.694217999999996,17.543968,8.153922999999999,16.074308000000002,14.182290000000009,21.01401399999999,5.124762000000004,12.869841000000008,41.094581000000005,22.264148999999975,28.044037000000003,17.728071999999997,32.15011300000003,24.862131999999974,36.509682999999995,46.73326500000002
022_Vlach_1,17.209433,29.734218000000002,20.723968,7.933922999999993,17.514308,15.422290000000004,18.674014000000014,4.384761999999995,10.729840999999993,39.874581000000006,18.484149000000002,24.46403699999999,16.608071999999993,32.01011300000002,27.15342499999997,41.25839000000002,35.71326499999998
023_Lyris_1,15.849433000000001,24.534218000000003,18.863968,9.013922999999991,18.234308000000013,16.70228999999999,17.894014,4.264762000000005,11.349840999999998,33.594581000000005,18.588503000000003,24.900000000000006,14.527754999999985,29.53011300000003,25.50213199999996,41.66968300000002,45.49326500000001
024_Schumann_1,17.149433000000002,23.734218,17.543968,8.373922999999998,16.374308,12.882289999999998,18.774014000000008,4.284762000000001,10.589841000000007,38.93458099999998,17.24414900000002,22.004036999999983,16.728071999999997,29.590113000000002,24.91342499999999,43.81839000000002,41.873265
026_Smetana_1,14.349433000000001,21.400408,16.837778,8.013922999999998,14.514308000000007,12.382289999999998,17.571701000000004,4.087074999999999,10.24984099999999,32.554581,17.72414900000001,26.504036999999983,15.588072000000011,26.590113000000002,21.793425000000013,39.93838999999997,42.33326500000004
027_Dissonances_1,12.669433,19.094218000000005,14.023967999999996,7.913923000000004,14.094307999999991,9.362290000000002,21.094014,5.044762000000006,12.509840999999994,38.174581,18.324149000000006,20.304036999999994,18.480317000000014,28.17786799999999,25.273424999999975,36.148707,41.002948
028_Taurus_1,16.609433,24.314217999999997,17.683968,8.745623000000009,16.302607999999992,12.042290000000008,19.534014,4.304761999999997,11.949841000000006,33.974581,18.984149000000002,21.344036999999986,15.468072000000006,29.79011299999999,20.67342499999998,34.71839,48.953265000000044
029_Acies_1,18.429433,27.354218,20.683967999999993,9.613923,18.594308000000012,13.662289999999999,20.514014000000003,4.844762000000003,12.609840999999989,36.694581,18.084148999999996,28.704037,16.388071999999994,29.370113000000003,27.13342499999999,43.49839000000003,45.173265000000015
030_Austrian_1,15.569433,27.054218,18.543968,9.173923000000002,15.474308000000008,13.542289999999994,22.114013999999997,5.144762,12.089840999999993,40.414581,20.904149000000018,23.68403699999999,18.948071999999996,29.53011300000003,31.473424999999963,43.79839000000004,41.71326499999998
