,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16
011_Prazak_4,17.603538,15.954013000000003,13.495646,27.545715,9.266484999999989,9.297052000000008,17.244082000000006,30.23795899999999,26.486212999999992,22.90140600000001,11.043810000000008,36.90734599999999,21.862448999999998,20.209795999999983,13.365715000000023,33.033469000000025
012_Modigliani_4,16.203537999999998,14.113605,12.076054,24.765715000000007,8.286484999999999,8.31705199999999,15.754694,28.047347000000016,21.866212999999988,23.90140600000001,10.623809999999992,32.647346,18.12244899999999,18.369796000000008,12.565714999999983,29.473469000000023
013_Janacek_4,19.003538,17.174013000000002,14.035646,27.465715000000003,9.746484999999993,10.337052,18.884082000000006,31.210611999999983,27.273560000000003,29.081406000000015,12.243809999999996,37.881224,17.708570999999978,21.489796000000013,15.405714999999987,38.51346900000004
014_Guarneri_4,16.743538,14.894013000000001,12.255645999999999,24.665715000000006,8.786484999999999,8.697052,16.384081999999992,25.050612,21.71356,20.14140599999999,10.763809000000009,34.267347,20.842449000000016,19.64979599999998,12.645714999999996,30.373469
015_Tokyo_4,18.123538,16.254013,13.355646,26.52571499999999,9.30648500000001,9.317052000000004,17.434693999999993,28.480000000000004,25.45356000000001,24.161406,11.583808999999974,38.02734700000002,21.822449000000006,21.42979600000001,14.385715000000005,33.355917999999974
016_Panocha_4,16.803538,15.254013,12.475645999999998,24.165715,8.506484999999998,8.697052,15.964082000000005,26.61061199999999,22.873560000000026,21.821405999999996,10.143809000000005,34.26734699999997,20.422449,19.14979600000001,12.72571499999998,31.373469
017_Endellion_4,18.243538,16.174013000000002,13.395646,25.805715,9.226484999999997,9.357051999999996,17.454694000000003,29.02000000000001,26.43356,26.14140599999999,11.263810000000007,36.767346,25.22244900000001,20.449795999999992,13.98571499999997,33.59346900000003
020_Amadeus_4,17.903538,16.614013000000003,13.675645999999993,27.305715,9.606485000000006,9.317052000000004,17.82408199999999,29.89061199999999,25.873560000000026,19.441406,11.84380999999999,36.787345999999985,21.322449000000006,21.40979600000003,14.885715000000005,35.873469
021_Concord_4,16.366395,14.494013000000002,11.955645999999998,23.025715000000005,8.026484999999994,8.191745999999995,15.800000000000011,25.847347,24.406213000000008,23.90140599999998,12.383810000000011,33.807345999999995,24.462448999999992,18.469796000000002,12.105715000000032,30.813468999999998
022_Griller_4,15.943538000000002,14.294013,11.855645999999997,23.54571500000001,8.626484999999988,7.997052000000011,15.46408199999999,26.337958999999998,25.626212999999993,20.541406000000023,9.743809999999996,32.88734600000001,21.40244899999999,17.329795999999988,11.625715000000014,27.793469000000016
