,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19,measure20,measure21,measure22,measure23,measure24,measure25,measure26,measure27,measure28,measure29,measure30,measure31,measure32,measure33,measure34,measure35,measure36,measure37,measure38,measure39,measure40,measure41,measure42,measure43,measure44,measure45,measure46,measure47,measure48,measure49,measure50,measure51,measure52,measure53,measure54,measure55,measure56,measure57,measure58,measure59,measure60,measure61,measure62,measure63,measure64,measure65,measure66,measure67,measure68,measure69,measure70,measure71,measure72,measure73,measure74,measure75,measure76
004_Dante_3,2.52644,2.544172,2.6878920000000006,2.5616319999999995,2.7887079999999997,2.6524710000000002,2.741316000000001,3.026394,2.9793199999999977,3.1692970000000003,3.0216330000000013,3.8592740000000028,3.4250789999999967,4.098050000000001,3.913922999999997,4.078050000000005,4.225305999999996,3.7102040000000045,3.8707489999999964,3.734149000000002,4.117505999999992,3.9060320000000104,3.9510199999999998,4.029116000000002,5.024443999999988,2.9204540000000065,3.030520999999993,2.3670299999999997,2.603401000000005,2.8863950000000074,4.0485709999999955,4.137642,4.061813999999998,4.968798000000007,3.3072559999999953,3.254058999999998,3.1849890000000016,3.5372790000000123,2.7142849999999896,2.865623999999997,2.811111000000011,2.898366999999979,2.7920190000000105,2.8791380000000117,3.0880269999999825,2.9396370000000047,3.291655999999989,2.4757820000000095,2.6941500000000076,2.5948300000000017,2.572107999999986,3.071428999999995,3.1552380000000255,3.346303999999975,4.460091000000006,3.858003999999994,3.8827210000000036,3.748435999999998,3.7923350000000084,3.8569160000000124,4.098593999999991,4.017732999999993,3.787483000000009,4.485985999999997,4.046348999999992,4.228254000000021,4.301269999999988,4.072109000000012,4.345441999999991,5.541360999999995,4.750930000000011,4.342946999999981,3.687756000000036,4.266121999999996,4.433695999999998,5.509116000000006
005_Skampa_3,2.24644,2.344172,2.427892,2.3216319999999993,2.4487080000000017,2.372470999999999,2.4013159999999996,2.7463940000000022,3.4793199999999977,3.129297000000001,2.421633,4.072290000000002,4.152062999999998,4.95805,4.373922999999998,4.338050000000003,4.5453059999999965,4.390204000000004,4.290748999999998,4.269659000000004,4.201995999999994,4.046031999999997,3.8510200000000054,4.149115999999992,4.944444000000004,2.776372000000009,3.054603,2.3070299999999975,2.4733779999999967,2.5564179999999936,4.908571000000009,3.777642,3.781813999999997,5.024670999999998,4.291382999999996,3.8740590000000026,3.5449890000000153,3.776461999999981,2.9151020000000187,2.645623999999998,2.5911109999999837,2.6183670000000063,2.6920189999999877,2.5391380000000083,2.7480270000000075,2.6796369999999854,3.451656000000014,2.655781999999988,2.5141500000000008,2.614830000000012,2.4721079999999915,3.325533000000007,3.1658960000000036,3.641541999999987,5.020091000000008,4.498004000000009,4.582720999999992,4.5884360000000015,4.012335000000007,4.496915999999999,4.258593999999988,4.297732999999994,4.327483000000001,4.6059860000000015,4.6063489999999945,4.288254000000023,4.641269999999992,3.9921089999999992,4.414829999999995,5.111973000000006,6.690930000000009,5.04294699999997,4.607755999999995,4.806122000000016,4.573695999999984,5.0291160000000446
007_Panocha_3,2.2464399999999998,2.2641720000000003,2.2878920000000003,2.201632,2.3487080000000002,2.3924709999999987,2.4813159999999996,2.8263940000000005,3.3393200000000007,2.7092969999999994,2.621632999999999,3.772289999999998,3.6920630000000045,4.0780499999999975,3.713923000000001,4.27805,4.465305999999998,4.150204000000002,3.5707489999999993,4.334149000000004,3.877505999999997,4.086032000000003,3.731020000000001,3.6691160000000025,4.44444399999999,2.76045400000001,3.3505209999999863,2.5070300000000003,2.3333780000000104,2.436417999999989,4.788027000000014,3.8581859999999892,3.6218140000000005,4.4046710000000076,3.231382999999994,2.6140589999999975,3.044989000000001,3.47727900000001,2.8942849999999822,2.925623999999999,2.791111000000001,2.838367000000005,2.932018999999997,2.8391380000000197,2.848027000000002,2.9396369999999763,4.031655999999998,2.9357820000000174,2.854150000000004,2.934830000000005,2.712107999999972,2.8655330000000276,3.001133999999979,3.206304000000017,4.480090999999987,4.158004000000005,4.362720999999993,3.968435999999997,3.692335000000014,3.816915999999992,4.278593999999998,4.2377329999999915,3.827483000000001,4.845986000000011,4.066349000000002,4.228253999999993,3.861270000000019,3.9521089999999788,4.84544200000002,5.081360999999987,6.430929999999989,4.616961000000003,4.173742000000033,4.0461219999999685,4.513695999999982,4.429116000000022
008_EnergieNove_3,2.52644,2.6241720000000006,2.7278459999999995,2.581678,2.8087079999999993,2.692471000000001,2.7813160000000003,2.786393999999998,3.439320000000002,3.009297,2.7216330000000006,3.772289999999998,3.612062999999999,3.7980500000000035,3.413922999999997,3.6180500000000038,3.865305999999997,3.850203999999998,3.6507490000000047,3.6141489999999905,4.057506000000004,3.9060320000000104,3.8910199999999975,3.9491159999999894,4.884444000000002,3.320453999999998,3.670521000000008,2.8670299999999997,3.013378000000003,3.0164180000000016,4.90802699999999,4.638186000000005,4.1218140000000005,5.204671000000005,4.451382999999993,3.934059000000005,4.044988999999987,4.837279000000024,3.2942849999999737,3.2856240000000128,3.291111000000001,3.1783670000000086,3.218503999999996,3.212652999999989,3.9880270000000166,3.7796369999999797,4.623356000000001,4.024082000000021,3.834149999999994,3.8348299999999824,3.292108000000013,3.765533000000005,3.8411339999999825,3.726303999999999,4.240091000000007,3.858003999999994,4.122721000000013,4.0484360000000095,4.072334999999981,4.376915999999994,3.9985940000000255,3.897732999999988,3.9474830000000054,4.085985999999991,4.1063489999999945,3.9682540000000017,4.14127000000002,3.8521089999999845,4.237686999999994,5.1291160000000104,4.5109299999999735,5.462947000000042,4.087755999999956,6.0261220000000435,5.273695999999973,9.289116000000035
009_Lindsay_3,2.34644,2.4441720000000005,2.5278920000000005,2.341631999999999,2.5887080000000005,2.5924709999999997,2.041316000000002,2.8663939999999997,3.2095239999999983,2.8190929999999987,2.481633000000002,3.0922899999999984,2.9720629999999986,3.3580500000000058,2.9939229999999952,3.13805,3.365306000000004,3.310203999999999,3.3107490000000013,3.158639000000001,2.973015999999994,3.2460319999999996,3.3310200000000094,3.189931999999999,3.5836279999999903,2.040454000000011,2.930520999999999,2.3270299999999935,2.4333780000000047,2.616417999999996,4.228026999999997,4.218186000000003,3.721813999999995,4.524671000000012,2.5913829999999933,3.454059000000001,3.524989000000005,3.8572789999999912,2.8942849999999964,2.865624000000011,2.891110999999995,2.9783670000000058,2.972018999999989,2.8791380000000117,3.1080269999999928,3.0596370000000093,3.55165599999998,2.6557820000000163,2.654149999999987,2.694829999999996,2.4121080000000177,2.805532999999997,2.7058959999999956,2.801542000000012,3.3584579999999846,2.8796370000000024,3.2603630000000123,3.2399999999999807,3.143129000000016,3.3969160000000045,3.2785939999999982,3.4177329999999984,3.3036280000000033,3.5098409999999944,3.186349000000007,3.2682539999999847,3.3212699999999984,3.2521090000000186,3.3454419999999914,4.321360999999996,5.410930000000008,4.129478000000006,4.001224999999977,4.266121999999996,5.53369600000002,5.729116000000005
010_Talich_3,2.56644,2.524172,2.467891999999999,2.3816319999999997,2.4687080000000012,2.592470999999998,2.6813160000000025,2.846394,3.259319999999999,2.7492969999999985,2.701633000000001,4.03229,4.472062999999999,4.698050000000002,4.2939229999999995,4.498049999999999,4.725306000000003,4.630203999999999,4.430749000000006,4.274148999999994,3.9775060000000053,4.4660319999999984,4.351019999999991,4.009116000000006,4.524444000000003,2.3804540000000003,3.0359179999999952,2.421633,2.493378000000007,2.656417999999988,4.368571000000003,4.337642000000002,3.981814,4.6646709999999985,3.451383000000007,3.3740590000000026,3.1849890000000016,3.1972789999999804,2.5742850000000033,2.63387800000001,2.6428569999999922,2.318366999999995,3.232019000000008,2.8191380000000095,3.348027000000002,3.319637,4.151656000000003,2.7957819999999742,2.574150000000003,2.5948300000000017,2.4521080000000097,2.9055329999999913,3.121134000000012,3.48630399999999,4.280090999999999,4.536916000000019,4.543808999999982,4.248435999999998,4.412335000000013,5.296915999999982,4.458594000000005,4.617733000000015,4.687482999999986,4.785986000000008,4.706348999999989,4.788253999999995,4.801270000000017,4.3521089999999845,4.925442000000004,5.561361000000005,5.730930000000001,4.927980999999988,4.862722000000019,4.406121999999982,4.873695999999995,6.009116000000006
011_Talich_3,2.28644,2.364172,2.427892000000001,2.3616319999999984,2.4287080000000003,2.4324710000000014,2.621316,2.786393999999998,3.159320000000001,2.849297,2.5016330000000018,3.859273999999999,3.8250790000000023,4.5780499999999975,4.0339230000000015,4.558049999999994,4.425306000000006,4.330203999999995,4.490749000000008,4.29414899999999,4.177506000000008,4.306032000000002,4.471019999999996,4.205033999999998,4.648526000000004,2.520454000000001,2.6505209999999977,2.147030000000001,2.353377999999992,2.4564179999999993,4.268027000000004,3.9181860000000057,4.1418139999999966,4.644671000000002,3.3713829999999945,3.3340589999999963,3.284988999999996,3.3572790000000055,2.694285000000008,2.665624000000008,2.791111000000001,2.67836699999998,2.692019000000016,3.019137999999998,3.0880269999999825,3.0796370000000195,3.991656000000006,2.475781999999981,2.4341500000000167,2.414829999999995,2.17210799999998,2.6255330000000185,2.7811340000000087,3.1063039999999944,4.380090999999993,4.158004000000005,4.042721,4.168435999999986,3.952335000000005,3.9769159999999886,3.8585940000000107,4.2377329999999915,4.107483000000002,4.865986000000021,4.306348999999983,4.528254000000004,4.341270000000009,4.772109,4.781768999999997,5.345033999999998,4.830929999999995,4.302946999999989,4.507756000000029,4.446122000000003,4.813695999999993,5.909115999999983
012_Smetana_3,2.2064399999999997,2.244172,2.267892,2.161632,2.268708,2.1924709999999994,2.341316000000001,2.466394000000001,2.87932,2.8092969999999973,2.481633000000002,3.539273999999999,3.705078999999998,3.9980500000000063,3.713922999999994,4.0380500000000055,4.025713999999994,3.909796,3.8307490000000044,3.754148999999998,3.7775060000000025,3.906031999999996,3.9510199999999998,3.809116000000003,4.204443999999995,2.3604540000000043,2.890521000000007,2.3470299999999895,2.533377999999999,2.636418000000006,4.268027000000004,4.218185999999989,4.099637000000001,4.322721000000001,3.3355099999999993,3.214059000000006,3.084988999999993,3.3972790000000117,2.6942849999999936,2.7856240000000128,2.6311109999999758,2.6783670000000086,2.8520190000000127,2.8391379999999913,2.7880269999999996,2.8796370000000024,3.2716560000000072,2.655781999999988,2.6941500000000076,2.5548299999999813,2.47210800000002,3.091429000000005,3.1599999999999966,3.5015420000000006,4.880090999999993,4.77800400000001,4.562720999999982,4.428436000000005,4.31233499999999,4.516916000000009,4.258593999999988,4.319592,3.7456240000000207,4.385986000000003,4.226348999999999,4.128253999999998,4.241269999999986,3.912109000000015,4.405441999999994,5.19673499999999,4.771111000000019,4.627391999999986,4.887755999999996,4.886122,5.013695999999982,5.6291160000000104
013_Wihan_3,2.50644,2.5441719999999997,2.587892,2.5016320000000007,2.7087079999999997,2.692471000000001,2.7413159999999976,2.9063940000000024,3.7793199999999985,3.309297000000001,3.181632999999998,4.33229,4.4520630000000025,4.8180499999999995,4.753923,4.864581000000001,4.958774999999996,4.950203999999999,4.910748999999996,4.714149000000006,4.737505999999996,4.786032000000006,5.111019999999996,4.569116000000008,6.104444000000001,2.800453999999988,3.1105210000000056,2.5070300000000003,2.6933779999999956,2.876418000000001,5.368026999999998,5.248753000000008,4.891246999999993,6.304671000000013,2.8713829999999803,3.2740590000000225,3.324988999999988,4.157278999999988,3.0942850000000135,2.965623999999991,3.351111000000003,3.1183670000000063,3.0520190000000014,3.239137999999997,3.6880270000000053,3.839636999999982,5.571656000000019,2.5882990000000063,2.741632999999979,2.5548300000000097,2.2835369999999955,2.8941039999999987,3.0411339999999996,3.8663040000000137,5.280090999999999,4.99800399999998,4.942721000000006,4.948436000000015,4.612335000000002,4.796915999999982,4.57859400000001,4.817733000000004,4.637596000000002,5.715872999999988,4.866348999999985,5.288253999999995,5.341270000000009,4.732109000000037,5.525441999999998,6.701360999999963,7.410930000000008,5.202946999999995,4.947756000000027,5.286121999999978,6.013696000000039,5.649115999999992
014_Panocha_3,2.2464399999999998,2.2841720000000003,2.307892,2.241632,2.408707999999999,2.3524710000000013,2.481315999999998,2.6063940000000017,3.2193199999999997,2.509297,2.461632999999999,3.4522900000000014,3.4720629999999986,4.0580500000000015,4.113923,4.418050000000001,4.265305999999995,4.310204000000006,3.990749000000001,4.194148999999996,4.217506,4.266031999999996,4.071020000000004,4.1891159999999985,4.404443999999998,2.4404540000000026,3.1105210000000056,2.3070299999999975,2.2133779999999916,2.4764180000000096,5.0080269999999985,3.838185999999993,3.661814000000007,4.204671000000005,2.6913829999999876,2.914059000000009,3.1449889999999954,3.4172790000000077,2.9142849999999925,2.865623999999997,2.9311110000000156,2.998367000000002,3.1320189999999855,2.939138000000014,3.1280269999999746,3.1396830000000193,4.151610000000005,2.5157820000000015,2.594149999999985,2.5948300000000017,2.312107999999995,2.765533000000005,2.621134000000012,3.086303999999984,4.400091000000003,4.318004000000002,4.302720999999991,3.988436000000007,3.412335000000013,3.996915999999999,3.898594000000003,4.137732999999997,3.687482999999986,4.765985999999998,4.006349,4.188254000000001,4.12127000000001,3.892109000000005,4.56544199999999,5.381360999999998,5.770929999999993,4.482946999999996,4.4277560000000165,4.006121999999976,4.53369600000002,5.2091159999999945
015_Medici_3,2.9264400000000004,3.0441719999999997,3.007891999999999,2.861632,3.0887080000000022,2.9324709999999996,2.8217239999999997,3.0859859999999983,3.37932,3.3092970000000044,3.3816329999999937,3.539274000000006,2.985078999999999,3.938049999999997,3.8339229999999986,3.918050000000001,4.0053060000000045,4.030203999999998,3.6107490000000055,4.254148999999998,3.69750599999999,3.7060320000000075,3.711020000000005,3.7091159999999945,4.524444000000003,2.840453999999994,3.5705209999999994,2.9870300000000043,3.053377999999995,3.2764180000000067,4.388026999999994,4.458185999999998,3.961814000000004,4.844671000000005,3.191383000000002,3.274058999999994,3.244989000000004,3.497278999999992,2.8126530000000116,3.227255999999983,3.1711109999999962,3.1183670000000063,3.232019000000008,3.1191379999999924,3.128027000000003,3.259636999999998,4.111656000000011,3.0957819999999856,3.1141500000000235,3.414829999999995,3.0121079999999836,3.3855330000000095,3.341134000000011,3.2847620000000006,3.8999999999999773,3.499637000000007,3.6427209999999945,3.6284359999999936,3.632335000000012,3.736916000000008,3.458594000000005,3.877732999999978,3.7674829999999986,4.1059860000000015,4.02634900000001,4.028254000000004,3.8412700000000086,3.9121089999999867,4.1254419999999925,4.881360999999998,5.650930000000017,5.022946999999988,4.787756000000002,4.3661220000000185,5.373695999999995,5.869115999999963
016_Smetana_3,2.2864400000000002,2.324172,2.2878920000000003,2.161632,2.2487080000000006,2.3524709999999995,2.4613159999999983,2.7863940000000014,3.3393200000000007,2.7892969999999977,2.481633000000002,3.7122899999999994,3.9720629999999986,3.898050000000005,3.633922999999996,3.898049999999998,3.905306000000003,3.6702039999999982,3.4307489999999987,3.3741490000000027,3.4975060000000013,3.586032000000003,3.6310199999999924,3.509116000000006,4.124443999999997,2.6804539999999974,3.3705209999999965,2.5070300000000003,2.5933780000000013,2.6964180000000084,5.268027000000004,3.99818599999999,3.681814000000003,4.1846709999999945,3.471383000000003,3.414059000000009,3.2449889999999897,3.757279000000011,2.83428499999998,2.805624000000023,2.791111000000001,2.9583669999999813,2.8720189999999945,2.7791380000000174,3.0280270000000087,3.039636999999999,3.6716559999999845,2.6557820000000163,2.7341499999999996,2.5948300000000017,2.5121079999999836,3.325533000000007,3.5011340000000075,3.7863040000000012,5.080090999999982,5.038004000000001,4.5627210000000105,4.28843599999999,4.172335000000004,4.556916000000001,4.2985940000000085,3.877732999999978,3.58748300000002,4.085985999999991,3.9263489999999877,3.728254000000021,3.6012699999999995,3.472108999999989,4.005442000000016,4.841360999999978,3.99093000000002,3.6629470000000026,3.7877559999999733,3.8661220000000185,4.53369600000002,6.069115999999951
017_Stamitz_3,2.72644,2.704172,2.6478919999999997,2.581632000000001,2.748707999999999,2.7124710000000025,2.8613159999999986,3.0863939999999985,3.5193200000000004,2.9092970000000022,2.9016330000000004,4.079273999999998,3.6650789999999986,4.078050000000005,3.953922999999996,4.378050000000002,4.5453059999999965,4.250204000000004,4.090748999999995,4.5541490000000096,4.357506000000001,4.666031999999987,4.211020000000005,4.289116000000007,5.144443999999993,3.1404540000000054,3.2905209999999983,2.4870300000000043,2.6533779999999894,2.7964180000000027,3.648026999999999,3.3781859999999995,3.781813999999997,4.924671000000004,3.231383000000008,3.1940589999999816,3.7849890000000244,4.017279000000002,3.306529999999981,3.113379000000009,3.1711109999999962,3.138366999999988,3.132019000000014,3.1191379999999924,3.768027000000018,3.5996370000000013,4.511655999999988,2.9957819999999913,3.0141500000000008,3.0348299999999995,2.6321080000000165,3.1455330000000004,3.241133999999988,3.726303999999999,4.700091000000015,4.658003999999977,4.662721000000005,4.368436000000003,4.212334999999996,4.516916000000009,4.3385940000000005,4.177732999999989,4.2274830000000065,4.565986000000009,4.426348999999988,4.628253999999998,4.361270000000019,4.272109,4.781361000000004,5.0854420000000005,5.870929999999987,4.762946999999997,5.087756000000013,5.166121999999973,4.973696000000018,5.269115999999997
018_PavelHaas_3,2.3864400000000003,2.604172,2.4878919999999995,2.4416320000000002,2.568708000000001,2.4324709999999996,2.6613159999999993,2.906393999999999,3.659320000000001,2.809297000000001,2.741633,4.17229,3.9520630000000025,4.258049999999997,4.0339230000000015,4.3380499999999955,4.385306,4.490204000000006,4.170749000000001,4.3141490000000005,4.517505999999997,4.726032000000004,4.07101999999999,4.349116000000009,5.524443999999988,3.1204540000000094,2.8705209999999965,2.4870300000000043,2.6533780000000036,2.7964179999999885,5.828027000000006,4.678185999999997,4.161814000000007,5.61292499999999,4.103128999999996,4.034059000000013,4.3649890000000084,4.817278999999985,2.7142849999999896,2.805624000000023,2.7511109999999803,2.758367000000021,2.8720189999999945,2.8591380000000015,3.0880269999999825,2.8596370000000206,3.9916559999999777,2.6957820000000083,2.612516999999997,2.7164630000000045,2.732108000000011,3.585532999999998,3.3411339999999825,3.71401400000002,5.35238099999998,5.158004000000005,4.442721000000006,4.808436,4.512335000000007,4.496915999999999,4.258593999999988,4.257733000000002,3.9874829999999974,4.505986000000007,4.566349000000002,4.508253999999994,4.5612700000000075,4.212108999999998,4.725441999999987,6.9013610000000085,6.550929999999994,5.314512000000036,4.516190999999992,4.726121999999975,6.753695999999991,6.3691160000000195
019_Apollon_3,2.3864400000000003,2.544172,2.6478920000000006,2.501631999999999,2.7595919999999996,2.621587,2.741316000000001,2.6263940000000012,3.2793199999999985,2.9292969999999983,2.701633000000001,3.85229,3.6920629999999974,3.8580500000000058,3.693922999999998,3.8780500000000018,3.885306,3.9102040000000002,3.550748999999996,3.8141490000000005,3.657505999999998,3.806032000000002,3.791020000000003,3.589116000000004,4.344443999999996,2.2804539999999918,2.8105210000000085,2.407029999999992,2.493378000000007,2.7764179999999925,4.088027000000011,3.478185999999994,3.4218139999999977,3.9446709999999996,3.231383000000008,2.994058999999993,3.1249889999999994,3.1572790000000026,2.6542850000000016,2.68562399999999,2.7311109999999985,2.6783670000000086,2.632019000000014,2.739137999999997,2.7880269999999996,2.819637,3.05165599999998,2.6157820000000243,2.834149999999994,2.764217000000002,2.6027210000000025,3.065532999999988,2.9811339999999973,3.0663040000000024,4.060091,3.9780039999999985,3.962721000000016,3.9084359999999947,3.672335000000004,3.9769159999999886,3.978593999999987,3.9777330000000006,3.887483000000003,4.365986000000021,4.206348999999989,3.988254000000012,4.041269999999997,3.73210899999998,4.205442000000005,4.761360999999994,4.49093000000002,4.338458000000003,4.032244999999989,4.086121999999989,4.3136960000000215,5.469116000000014
